original_tag,division,question_id,has_reasoning,has_final,prompt_tokens,completion_tokens,total_tokens,reasoning_tokens,reasoning_budget_hit,finish_reason,near_generation_cap,near_context_limit,loop_candidate,confirmed_loop,clean_final,gen_t_s,pp_t_s,wall_ms
B,general,G4,yes,yes,135,4310,4445,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,42.64,90.27,102710.7
B,general,G5,yes,yes,117,1433,1550,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,41.67,82.71,36015.7
B,general,G6,yes,yes,77,3065,3142,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,42.83,72.29,72729.8
B,general,G7,yes,yes,138,2702,2840,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,41.82,102.98,66068.4
B,general,G8,yes,yes,77,561,638,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,42.48,63.68,14525.5
B,general,G9,yes,yes,102,4900,5002,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,42.18,80.99,117529.5
B,general,G10,yes,yes,110,800,910,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,42.11,81.75,20501.2
B,general,G11,yes,yes,90,989,1079,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,41.99,74.25,24891.1
B,general,G12,yes,yes,80,401,481,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,42.14,80.77,10581.7
B,general,G13,yes,yes,77,1320,1397,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,43.23,67.9,31883.2
B,general,G14,yes,yes,70,1812,1882,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,42.9,74.05,43282.8
B,general,G15,yes,yes,95,1858,1953,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,41.99,74.65,45665.3
