model,d_general,c_general,delta_general,d_cyber,c_cyber,delta_cyber,d_overall,c_overall,delta_overall,d_rank,c_rank,rank_change
Nex-N2-mini-Q4_K_M,290.0,418.5,128.5,63.0,328.0,265.0,353.0,746.5,393.5,4,1,3
Ornith-1.5-35B-A3B-Abliterated-Q4_K_M,358.0,405.0,47.0,211.5,320.5,109.0,569.5,725.5,156.0,1,2,-1
Gemma4-26B-A4B-QAT-Uncensored-HauhauCS-Balanced-Q4_K_M,269.5,414.5,145.0,271.0,291.5,20.5,540.5,706.0,165.5,2,3,-1
Endy-Qwen3.6-CyberSec-35B-A3B-Q4_K_M,284.0,357.0,73.0,242.0,287.0,45.0,526.0,644.0,118.0,3,4,-1
Qwen3.8-9B-abliterated-25-Q4_K_M,202.5,368.5,166.0,130.0,266.5,136.5,332.5,635.0,302.5,5,5,0
RavenX-CyberAgent-35B-v5.1-Q4_K_M,220.5,319.5,99.0,81.0,256.5,175.5,301.5,576.0,274.5,6,6,0
