tag,model,local_benchmark_filename,sha256,file_size_bytes,quantization,source_url,revision_if_known,license,present
A,RavenX-CyberAgent-35B-v5.1-Q4_K_M,RavenX-CyberAgent-35B-v5.1-Q4_K_M.gguf,8f75846d57b4947df776f400bbf7c85e7a9092bf9f596b315a775535d6de665f,21713463264,Q4_K_M,https://huggingface.co/deadbydawn101/RavenX-CyberAgent-Qwen3.6-35B-A3B-Opus-4.7-OpenMythos-Pentester-BugHunter-RATH-GGUF,,UNDETERMINED - see LICENSE-NOTES.md,yes
B,Endy-Qwen3.6-CyberSec-35B-A3B-Q4_K_M,Endy-Qwen3.6-CyberSec-35B-A3B-Q4_K_M.gguf,ed118e7768330eb440ddc8ade42a04005ecab37f131d7e84bb08d14d1e315ae1,21713462496,Q4_K_M,https://huggingface.co/endystrike/Endy-Qwen3.6-CyberSec-35B-A3B,,UNDETERMINED - see LICENSE-NOTES.md,yes
C,Gemma4-26B-A4B-QAT-Uncensored-HauhauCS-Balanced-Q4_K_M,Gemma4-26B-A4B-QAT-Uncensored-HauhauCS-Balanced-Q4_K_M.gguf,3c13133469e431312fffb8b1d9c85ae42199e6bb5746ea1da84e8ddf2097d73c,16796015520,Q4_K_M,https://huggingface.co/HauhauCS/Gemma4-26B-A4B-QAT-Uncensored-HauhauCS-Balanced-MTP,,UNDETERMINED - see LICENSE-NOTES.md,yes
D,Ornith-1.5-35B-A3B-Abliterated-Q4_K_M,Ornith-1.5-35B-A3B-Abliterated-Q4_K_M.gguf,a07f299e83a398b5078c1cb8ab4ec96333c8ea9d10d0cb479cb073056fedd3d0,21166757664,Q4_K_M,"https://huggingface.co/ornith-ai/Ornith-1.5-35B-A3B (base); abliterated suites: mradermacher/Ornith-1.5-35B-A3B-FULLY-OBLITERATED-i1-GGUF, codecraftersllc/ornith-1.5-35b-a3b-abliterated",,UNDETERMINED - see LICENSE-NOTES.md,yes
E,Nex-N2-mini-Q4_K_M,nex-agi_Nex-N2-mini-Q4_K_M.gguf,b158f66ba0bea9a4cc10864777abb9d345c00f0f2f886dc147032e4aa4a86340,21391448064,Q4_K_M,https://huggingface.co/bartowski/nex-agi_Nex-N2-mini-GGUF (original: nex-agi/Nex-N2-mini),,UNDETERMINED - see LICENSE-NOTES.md,yes
F,Qwen3.8-9B-abliterated-25-Q4_K_M,Qwen3.8-9B-abliterated-25.Q4_K_M.gguf,542d41f6cf4cc450152651d0d8099bd4856f919f1a8909c3037976480cb894cf,5629108864,Q4_K_M,base: https://github.com/QwenLM/Qwen3.8 ; exact abliterated-25 GGUF repo: SOURCE NOT RECOVERED,,UNDETERMINED - see LICENSE-NOTES.md,yes
